Timestamp,Latitude,Longitude,Posicao_X,Posicao_Y,Profundidade_Z_m,Angulacao_Roll_Graus,Temp_C,CO2_ppm,Risco_Estrutural,Bateria_Robo_Perc,Distancia_Percorrida_m,Vitima_Presente_GT,Tendencia_Temp_C,Risco_Previsto_Futuro,Custo_Rota,Vitima_Detectada,Score_Vitima,Score_Risco_Estrutural,Prioridade_Resgate,Comando_Logistico
1970-01-01 00:00:00,40.705966,-73.997715,0,0,1.7,25.9,40.2,485,0,90.0,0.0,0,0.0,0,69,False,0,0,3,CONTINUAR EXPLORACAO
1970-01-01 00:00:01,40.722099,-74.001619,1,0,8.1,27.2,24.9,494,2,89.2,0.0,0,-15.3,2,235,False,0,100,22,CONTINUAR EXPLORACAO
1970-01-01 00:00:02,40.703554,-74.001098,2,0,0.4,14.2,32.0,593,4,88.4,1.4,0,7.1,4,232,False,0,200,42,RETIRADA DE RISCO PREVISTO
1970-01-01 00:00:03,40.705118,-74.012057,3,0,9.3,8.3,35.9,539,0,87.6,0.0,0,3.9,0,110,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:04,40.711452,-74.002509,4,0,6.0,5.6,32.5,531,0,86.8,2.4,0,-3.4,0,71,False,0,0,0,CONTINUAR EXPLORACAO
1970-01-01 00:00:05,40.713408,-74.002049,5,0,1.5,6.2,18.6,608,1,86.0,3.0,0,-13.9,1,77,False,0,50,10,CONTINUAR EXPLORACAO
1970-01-01 00:00:06,40.70559,-74.009914,6,0,3.3,13.4,21.2,643,1,85.2,0.6,0,2.6,1,110,False,0,50,11,CONTINUAR EXPLORACAO
1970-01-01 00:00:07,40.703782,-74.0066,7,0,1.8,4.3,29.8,437,0,84.4,6.8,0,8.6,0,27,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:08,40.705486,-74.00052,8,0,3.3,9.0,38.3,588,3,83.6,2.3,0,8.5,4,201,False,0,200,41,RETIRADA DE RISCO PREVISTO
1970-01-01 00:00:09,40.711443,-74.002164,9,0,2.7,7.5,33.6,544,1,82.8,7.1,0,-4.7,1,92,False,0,50,11,CONTINUAR EXPLORACAO
1970-01-01 00:00:10,40.718505,-73.9969,10,0,6.5,5.7,32.3,414,0,82.0,7.3,0,-1.3,0,76,False,0,0,1,CONTINUAR EXPLORACAO
1970-01-01 00:00:11,40.713697,-74.012489,11,0,2.7,4.4,31.1,440,1,81.2,2.6,0,-1.2,1,86,False,0,50,10,CONTINUAR EXPLORACAO
1970-01-01 00:00:12,40.704258,-74.001721,12,0,6.7,3.7,37.6,651,2,80.4,8.3,0,6.5,4,174,False,0,200,41,RETIRADA DE RISCO PREVISTO
